family_id,train_samples,eval_samples,test_samples,eval_loss,eval_accuracy,test_loss,test_accuracy,temperature
Araceae,166,41,25,0.47374476456060644,0.8292682926829268,0.4605479049682617,0.92,0.07
Asparagaceae,380,94,52,0.627049390305864,0.8617021276595744,0.6503523725729722,0.8076923076923077,0.07
